r,rtype,zr,effshape,dirsign5,authordate,studyid,siteid,ecosystype,expsyst,manip,design,inddivcause,establfrom,divmeas,fglevels,splevels,maxspno,noplots,nospec,tl_manip,tl_measur,trophrel,variable,groupvar,service,ecoserv,residinvad,statdyn,ratestock,resplevel
-0.839,univar,-1.218,negative linear,-2,Stachowicz et al. 1999,1,S10,aquatic marine,field,direct,substitutive,,juveniles,SpRichn,1,4,low,68,5,1°Consumer,1°Producer,below,survival of invader (%),Invader 1°producer survival,r,bioregulation,2,static,s,pop
0.702,univar,0.871,positive linear,2,Stachowicz et al. 1999,1,S10,aquatic marine,field,direct,substitutive,,juveniles,SpRichn,1,4,low,68,5,1°Consumer,1°Consumer,same,cover,1°+consumer abundance,r,bioregulation,1,static,s,com
-0.799,univar,-1.095,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: P. tinctorius],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.762,univar,-1,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: C. geophilum],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.669,univar,-0.808,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: L. laccata],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.642,univar,-0.761,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: A. flavorubescens],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.51,univar,-0.563,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: A. longipes],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.463,univar,-0.501,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,root length/mass,1°producer abundance,p,prim prod,1,static,r,com
-0.418,univar,-0.446,negative,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,-root:shoot ratio,mechanism,NA,NA,1,static,s,com
-0.336,univar,-0.35,negative linear,-2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,biomass belowground,1°producer abundance,p,prim prod,1,static,s,com
-0.247,univar,-0.252,negative linear,0,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [ectomycorrhiza: P. bicolor],Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
-0.235,univar,-0.239,negative linear,-1,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,root length,1°producer abundance,p,prim prod,1,static,s,com
